,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,season,PPG
173,144,Bryn Forbes,SG,29,MIN,25,268,6.3,0.497,0.554,0.181,1.7,4.5,3.1,8.2,1.2,0.7,11.8,16.1,,-0.2,0.2,0.0,0.001,,-4.7,-1.5,-6.2,-0.3,forbebr01,2223,3.6
174,145,Trent Forrest,PG,24,ATL,18,239,7.9,0.487,0.04,0.06,2.3,11.0,6.6,16.0,1.2,0.7,16.3,10.8,,0.0,0.2,0.2,0.03,,-4.4,0.6,-3.8,-0.1,forretr01,2223,2.8
175,146,Michael Foster Jr.,PF,20,PHI,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.012,,-7.6,-1.9,-9.5,0.0,fostemi02,2223,0.0
176,147,Evan Fournier,SG,30,NYK,23,414,8.2,0.49,0.675,0.139,1.0,10.7,5.9,11.7,1.7,0.7,10.6,18.6,,-0.1,0.4,0.3,0.034,,-3.1,0.2,-3.0,-0.1,fournev01,2223,6.8
177,148,De'Aaron Fox,PG,25,SAC,55,1877,21.7,0.603,0.261,0.344,1.6,12.6,7.2,29.4,1.6,0.8,11.3,29.8,,4.3,1.4,5.7,0.147,,3.1,-0.9,2.2,2.0,foxde01,2223,25.5
178,149,Markelle Fultz,PG,24,ORL,41,1199,16.2,0.552,0.123,0.22,4.9,10.7,7.8,29.2,2.5,1.3,16.4,21.1,,0.9,1.4,2.3,0.091,,-0.4,0.8,0.4,0.8,fultzma01,2223,13.6
179,150,Wenyen Gabriel,PF,25,LAL,48,725,15.4,0.653,0.151,0.307,11.8,15.4,13.7,4.2,1.1,3.0,12.7,15.0,,1.3,0.8,2.1,0.136,,-1.9,-0.2,-2.1,0.0,gabriwe01,2223,5.8
180,151,Daniel Gafford,C,24,WAS,59,1127,20.5,0.746,0.0,0.539,12.1,19.2,15.8,7.1,1.0,5.8,15.2,15.3,,3.1,1.5,4.6,0.196,,0.6,0.9,1.5,1.0,gaffoda01,2223,8.6
181,152,Darius Garland,PG,23,CLE,54,1896,20.0,0.599,0.377,0.305,1.4,7.4,4.5,35.2,1.8,0.3,13.7,27.0,,4.3,2.3,6.6,0.168,,3.9,-0.5,3.4,2.6,garlada01,2223,22.0
182,153,Usman Garuba,PF,20,HOU,54,728,14.0,0.591,0.266,0.281,13.1,23.3,18.2,9.5,2.5,3.4,20.0,10.2,,0.7,0.8,1.5,0.101,,-1.6,1.2,-0.4,0.3,garubus01,2223,3.3
